Canton,Nationality,Rate
Zürich,Etrangers,6
Zürich,Suisses,2.8
Bern/Berne,Etrangers,6.5
Bern/Berne,Suisses,2
Luzern,Etrangers,4.7
Luzern,Suisses,1.5
Uri,Etrangers,4.2
Uri,Suisses,0.6
Schwyz,Etrangers,3.9
Schwyz,Suisses,1.2
Obwalden,Etrangers,3
Obwalden,Suisses,0.7
Nidwalden,Etrangers,3.1
Nidwalden,Suisses,0.8
Glarus,Etrangers,4.9
Glarus,Suisses,1.6
Zug,Etrangers,4
Zug,Suisses,1.8
Fribourg,Etrangers,5.8
Fribourg,Suisses,1.9
Solothurn,Etrangers,5.9
Solothurn,Suisses,2.1
Basel-Stadt,Etrangers,5.3
Basel-Stadt,Suisses,2.9
Basel-Landschaft,Etrangers,5.4
Basel-Landschaft,Suisses,2.3
Schaffhausen,Etrangers,6.4
Schaffhausen,Suisses,2.2
Appenzell Ausserrhoden,Etrangers,3.9
Appenzell Ausserrhoden,Suisses,1.4
Appenzell Innerrhoden,Etrangers,3.9
Appenzell Innerrhoden,Suisses,0.7
St. Gallen,Etrangers,5.1
St. Gallen,Suisses,1.7
Graubünden/Grigioni,Etrangers,4.6
Graubünden/Grigioni,Suisses,1
Aargau,Etrangers,6.2
Aargau,Suisses,2.2
Thurgau,Etrangers,4.9
Thurgau,Suisses,1.7
Ticino,Etrangers,5.4
Ticino,Suisses,2.7
Vaud,Etrangers,6.8
Vaud,Suisses,3.6
Valais/Wallis,Etrangers,8.2
Valais/Wallis,Suisses,2.5
Neuchâtel,Etrangers,9.1
Neuchâtel,Suisses,4.5
Genève,Etrangers,6.3
Genève,Suisses,4.9
Jura,Etrangers,10.6
Jura,Suisses,3.5
Total,,3.3
