Canton,Rate,Jobless,Total
Zürich,3.7,361'007,441'431
Bern/Berne,2.7,183'398,241'011
Luzern,2.1,55'221,89'599
Uri,1,2'418,4'361
Schwyz,1.8,18'446,27'475
Obwalden,1,2'556,4'514
Nidwalden,1.1,3'337,6'149
Glarus,2.4,6'375,10'168
Zug,2.4,19'233,31'843
Fribourg,2.8,55'725,99'586
Solothurn,3,51'775,82'492
Basel-Stadt,3.9,45'986,66'020
Basel-Landschaft,3,53'338,70'312
Schaffhausen,3.3,17'254,30'789
Appenzell Ausserrhoden,1.8,6'694,11'429
Appenzell Innerrhoden,1.1,1'182,1'701
St. Gallen,2.5,83'708,138'593
Graubünden/Grigioni,1.7,22'615,42'028
Aargau,3.2,137'806,191'709
Thurgau,2.5,45'533,73'743
Ticino,3.5,70'524,112'310
Vaud,4.7,224'894,314'851
Valais/Wallis,3.9,82'474,126'925
Neuchâtel,5.8,64'382,86'039
Genève,5.5,155'582,199'113
Jura,4.6,20'341,28'975
Total,3.3,1'791'804,2'533'166
